Timestep	Iteration	Value_Loss	AverageReturn	MaxAvgReturn	Exploration	LearningRate
1020000	748	0.054248627	-10.46	-10.46	0.09723076923076923	0.0001
1030000	751	0.13311411	-10.28	-10.28	0.09584615384615384	0.0001
1040000	754	0.10025503	-10.0	-10.0	0.09446153846153847	0.0001
1050000	757	0.039355647	-9.62	-9.62	0.09307692307692308	0.0001
1060000	760	0.07257487	-9.16	-9.16	0.0916923076923077	0.0001
1070000	763	0.07747464	-8.78	-8.78	0.09030769230769231	0.0001
1080000	766	0.16060875	-8.64	-8.64	0.08892307692307692	0.0001
1090000	769	0.13959125	-8.39	-8.39	0.08753846153846154	0.0001
1100000	772	0.089608744	-8.0	-8.0	0.08615384615384616	0.0001
1110000	775	0.06286998	-7.55	-7.55	0.08476923076923078	0.0001
1120000	778	0.052983142	-7.15	-7.15	0.08338461538461539	0.0001
1130000	781	0.023034513	-6.88	-6.88	0.082	0.0001
1140000	784	0.07545384	-6.31	-6.31	0.08061538461538462	0.0001
1150000	787	0.23583135	-5.82	-5.82	0.07923076923076923	0.0001
1160000	789	0.047670957	-5.49	-5.49	0.07784615384615384	0.0001
1170000	792	0.31458074	-5.01	-5.01	0.07646153846153847	0.0001
1180000	795	0.07462424	-4.62	-4.62	0.07507692307692308	0.0001
1190000	798	0.04437746	-4.17	-4.17	0.0736923076923077	0.0001
1200000	800	0.1175608	-3.87	-3.87	0.07230769230769231	0.0001
1210000	803	0.051291075	-3.3	-3.3	0.07092307692307692	0.0001
1220000	807	0.123738565	-2.55	-2.55	0.06953846153846154	0.0001
1230000	810	0.023450412	-2.07	-2.07	0.06815384615384615	0.0001
1240000	813	0.060741756	-1.66	-1.66	0.06676923076923078	0.0001
1250000	817	0.054225102	-0.94	-0.94	0.06538461538461537	0.0001
1260000	820	0.09504989	-0.44	-0.44	0.064	0.0001
1270000	823	0.072843954	-0.01	-0.01	0.06261538461538461	0.0001
1280000	826	0.06518906	0.37	0.37	0.06123076923076923	0.0001
1290000	829	0.06413934	0.64	0.64	0.05984615384615385	0.0001
1300000	832	0.18443798	1.27	1.27	0.05846153846153846	0.0001
1310000	834	0.04731644	1.48	1.48	0.057076923076923074	0.0001
1320000	838	0.20336664	2.15	2.15	0.05569230769230769	0.0001
1330000	842	0.15189715	2.8	2.8	0.054307692307692314	0.0001
1340000	846	0.28439468	3.47	3.47	0.05292307692307692	0.0001
1350000	850	0.071844734	4.28	4.28	0.05153846153846154	0.0001
1360000	853	0.02968391	4.71	4.71	0.05015384615384615	0.0001
1370000	857	0.08082233	5.39	5.39	0.04876923076923077	0.0001
1380000	861	0.18858205	5.92	5.92	0.04738461538461538	0.0001
1390000	864	0.12969607	6.39	6.39	0.046	0.0001
1400000	868	0.07190186	6.98	6.98	0.04461538461538461	0.0001
1410000	871	0.03640622	7.28	7.28	0.04323076923076923	0.0001
1420000	874	0.08689394	7.47	7.47	0.04184615384615384	0.0001
1430000	878	0.14458366	8.01	8.01	0.04046153846153846	0.0001
1440000	882	0.5291419	8.7	8.7	0.03907692307692307	0.0001
1450000	886	0.05802837	9.02	9.02	0.03769230769230769	0.0001
1460000	890	0.24795584	9.48	9.48	0.036307692307692305	0.0001
1470000	893	0.13720942	9.7	9.7	0.03492307692307692	0.0001
1480000	896	1.0876889	10.01	10.01	0.03353846153846153	0.0001
1490000	900	0.5670504	10.29	10.29	0.03215384615384616	0.0001
1500000	904	0.5901232	10.54	10.54	0.030769230769230757	0.0001
1510000	909	0.09980068	10.96	10.96	0.029384615384615384	0.0001
1520000	913	0.11140337	11.41	11.41	0.027999999999999997	0.0001
1530000	918	0.07599753	11.8	11.8	0.02661538461538461	0.0001
1540000	923	0.3272583	12.47	12.47	0.025230769230769223	0.0001
1550000	928	0.44175956	13.06	13.06	0.02384615384615385	0.0001
1560000	933	0.06749236	13.57	13.57	0.02246153846153845	0.0001
1570000	938	0.044786934	14.0	14.0	0.021076923076923076	0.0001
1580000	943	0.21190202	14.51	14.51	0.01969230769230769	0.0001
1590000	948	0.057920344	14.67	14.67	0.018307692307692303	0.0001
1600000	954	0.041494668	15.01	15.01	0.016923076923076916	0.0001
1610000	959	0.06877436	15.41	15.41	0.015538461538461529	0.0001
1620000	964	0.05955664	15.72	15.72	0.014153846153846142	0.0001
1630000	969	0.04964105	16.17	16.17	0.012769230769230769	0.0001
1640000	974	0.059134196	16.76	16.76	0.011384615384615368	0.0001
1650000	979	0.059875965	17.12	17.12	0.01	0.0001
1660000	985	0.046259083	17.55	17.55	0.01	9.96969696969697e-05
1670000	990	0.05566708	17.82	17.82	0.01	9.93939393939394e-05
1680000	995	0.05519002	18.24	18.24	0.01	9.90909090909091e-05
1690000	1000	0.07779036	18.65	18.65	0.01	9.87878787878788e-05
1700000	1006	0.073648974	18.95	18.95	0.01	9.848484848484849e-05
1710000	1012	0.043560583	19.1	19.1	0.01	9.818181818181818e-05
1720000	1017	0.15160905	19.26	19.26	0.01	9.787878787878789e-05
1730000	1023	0.020058528	19.33	19.33	0.01	9.757575757575758e-05
1740000	1028	0.06313455	19.41	19.41	0.01	9.727272727272728e-05
1750000	1033	0.030368734	19.45	19.48	0.01	9.696969696969698e-05
1760000	1038	0.034141876	19.45	19.48	0.01	9.666666666666667e-05
1770000	1043	0.06516348	19.45	19.48	0.01	9.636363636363637e-05
1780000	1049	0.079913065	19.51	19.51	0.01	9.606060606060606e-05
1790000	1054	0.097027704	19.55	19.56	0.01	9.575757575757576e-05
1800000	1060	0.055240013	19.52	19.56	0.01	9.545454545454546e-05
1810000	1065	0.09700123	19.66	19.66	0.01	9.515151515151515e-05
1820000	1070	0.08286561	19.73	19.75	0.01	9.484848484848486e-05
1830000	1076	0.21400526	19.75	19.75	0.01	9.454545454545455e-05
1840000	1082	0.1478566	19.76	19.77	0.01	9.424242424242424e-05
1850000	1087	0.028000657	19.81	19.81	0.01	9.393939393939395e-05
1860000	1093	0.042369902	19.86	19.86	0.01	9.363636363636364e-05
1870000	1099	0.12801753	19.89	19.89	0.01	9.333333333333334e-05
1880000	1105	0.0149441995	19.97	19.97	0.01	9.303030303030303e-05
1890000	1110	0.08363186	19.97	19.98	0.01	9.272727272727273e-05
1900000	1116	0.2587051	19.95	19.98	0.01	9.242424242424243e-05
1910000	1121	0.026647013	19.96	19.98	0.01	9.212121212121212e-05
1920000	1127	0.039780647	19.93	19.98	0.01	9.181818181818182e-05
1930000	1133	0.040848874	20.02	20.02	0.01	9.151515151515152e-05
1940000	1139	0.029105049	20.1	20.1	0.01	9.121212121212121e-05
1950000	1144	0.040075064	20.15	20.15	0.01	9.090909090909092e-05
1960000	1149	0.03728198	20.12	20.15	0.01	9.060606060606061e-05
1970000	1155	0.09073721	20.14	20.15	0.01	9.030303030303031e-05
1980000	1161	0.023977086	20.15	20.17	0.01	9e-05
1990000	1167	0.062305614	20.22	20.22	0.01	8.96969696969697e-05
2000000	1172	0.039897107	20.27	20.27	0.01	8.93939393939394e-05
2010000	1178	0.040840216	20.28	20.28	0.01	8.90909090909091e-05
2020000	1184	0.034370735	20.28	20.28	0.01	8.878787878787879e-05
2030000	1189	0.1805225	20.28	20.28	0.01	8.848484848484849e-05
2040000	1194	0.01899995	20.21	20.28	0.01	8.818181818181818e-05
2050000	1200	0.09982005	20.17	20.28	0.01	8.787878787878789e-05
2060000	1205	0.028806869	20.1	20.28	0.01	8.757575757575758e-05
2070000	1210	0.14557773	19.98	20.28	0.01	8.727272727272728e-05
2080000	1216	0.041118648	19.96	20.28	0.01	8.696969696969698e-05
2090000	1221	0.03795071	19.95	20.28	0.01	8.666666666666667e-05
2100000	1226	0.0949247	19.91	20.28	0.01	8.636363636363637e-05
2110000	1231	0.07820933	19.87	20.28	0.01	8.606060606060606e-05
2120000	1237	0.052460127	19.74	20.28	0.01	8.575757575757576e-05
2130000	1242	0.027430497	19.6	20.28	0.01	8.545454545454546e-05
2140000	1247	0.23919035	19.61	20.28	0.01	8.515151515151515e-05
2150000	1252	0.5411442	19.62	20.28	0.01	8.484848484848485e-05
2160000	1257	0.0075123124	19.52	20.28	0.01	8.454545454545455e-05
2170000	1263	0.07868573	19.5	20.28	0.01	8.424242424242426e-05
2180000	1267	0.04520166	19.34	20.28	0.01	8.393939393939395e-05
2190000	1272	0.014450697	19.15	20.28	0.01	8.363636363636364e-05
2200000	1277	0.014322627	19.03	20.28	0.01	8.333333333333334e-05
2210000	1281	0.052826993	18.91	20.28	0.01	8.303030303030304e-05
2220000	1286	0.046607308	18.8	20.28	0.01	8.272727272727273e-05
2230000	1292	0.040785916	18.79	20.28	0.01	8.242424242424243e-05
2240000	1297	0.02385251	18.74	20.28	0.01	8.212121212121212e-05
2250000	1301	0.05927665	18.69	20.28	0.01	8.181818181818182e-05
2260000	1305	0.03455162	18.51	20.28	0.01	8.151515151515152e-05
2270000	1309	0.066916294	18.32	20.28	0.01	8.121212121212121e-05
2280000	1314	0.062601626	18.2	20.28	0.01	8.09090909090909e-05
2290000	1318	0.016785823	17.96	20.28	0.01	8.060606060606061e-05
2300000	1321	0.025272261	17.79	20.28	0.01	8.030303030303031e-05
2310000	1325	0.012204911	17.54	20.28	0.01	8e-05
2320000	1329	0.020405227	17.45	20.28	0.01	7.96969696969697e-05
2330000	1333	0.17821309	17.21	20.28	0.01	7.93939393939394e-05
2340000	1338	0.1330739	16.92	20.28	0.01	7.90909090909091e-05
2350000	1342	0.058530115	16.87	20.28	0.01	7.878787878787879e-05
2360000	1347	0.26508582	16.7	20.28	0.01	7.848484848484849e-05
2370000	1351	0.02920473	16.56	20.28	0.01	7.818181818181818e-05
2380000	1356	0.014133896	16.42	20.28	0.01	7.787878787878788e-05
2390000	1360	0.027058933	16.17	20.28	0.01	7.757575757575758e-05
2400000	1363	0.011090294	16.04	20.28	0.01	7.727272727272727e-05
2410000	1367	0.053280868	16.01	20.28	0.01	7.696969696969696e-05
2420000	1371	0.12869892	15.97	20.28	0.01	7.666666666666667e-05
2430000	1376	0.030208066	15.95	20.28	0.01	7.636363636363637e-05
2440000	1381	0.015627436	16.11	20.28	0.01	7.606060606060607e-05
2450000	1387	0.06175656	16.19	20.28	0.01	7.575757575757576e-05
2460000	1392	0.024108676	16.13	20.28	0.01	7.545454545454546e-05
2470000	1397	0.015486887	16.13	20.28	0.01	7.515151515151515e-05
2480000	1402	0.01877454	16.15	20.28	0.01	7.484848484848485e-05
2490000	1407	0.019040924	16.42	20.28	0.01	7.454545454545455e-05
2500000	1413	0.058716897	16.76	20.28	0.01	7.424242424242424e-05
2510000	1418	0.010650579	17.02	20.28	0.01	7.393939393939393e-05
2520000	1423	0.018060539	17.33	20.28	0.01	7.363636363636364e-05
2530000	1429	0.024068486	17.65	20.28	0.01	7.333333333333334e-05
2540000	1434	0.037215337	18.04	20.28	0.01	7.303030303030304e-05
2550000	1440	0.011767396	18.35	20.28	0.01	7.272727272727273e-05
2560000	1445	0.024143979	18.61	20.28	0.01	7.242424242424243e-05
2570000	1451	0.029452853	18.78	20.28	0.01	7.212121212121213e-05
2580000	1456	0.010300233	18.98	20.28	0.01	7.181818181818182e-05
2590000	1461	0.02368443	19.24	20.28	0.01	7.151515151515152e-05
2600000	1466	0.013884662	19.39	20.28	0.01	7.121212121212121e-05
2610000	1472	0.046291992	19.68	20.28	0.01	7.090909090909092e-05
2620000	1477	0.021220844	19.74	20.28	0.01	7.060606060606061e-05
2630000	1482	0.009808679	19.77	20.28	0.01	7.03030303030303e-05
2640000	1487	0.025971306	19.78	20.28	0.01	7.000000000000001e-05
2650000	1492	0.06460417	19.85	20.28	0.01	6.96969696969697e-05
2660000	1497	0.028737893	19.88	20.28	0.01	6.93939393939394e-05
2670000	1502	0.026882283	19.92	20.28	0.01	6.90909090909091e-05
2680000	1507	0.03930206	19.87	20.28	0.01	6.878787878787879e-05
2690000	1512	0.021742336	19.8	20.28	0.01	6.848484848484849e-05
2700000	1518	0.042887524	19.75	20.28	0.01	6.818181818181818e-05
2710000	1522	0.006571704	19.65	20.28	0.01	6.787878787878788e-05
2720000	1527	0.012633918	19.6	20.28	0.01	6.757575757575758e-05
2730000	1533	0.028454589	19.63	20.28	0.01	6.727272727272727e-05
2740000	1539	0.030029878	19.7	20.28	0.01	6.696969696969696e-05
2750000	1544	0.01272949	19.69	20.28	0.01	6.666666666666667e-05
2760000	1550	0.029209465	19.67	20.28	0.01	6.636363636363638e-05
2770000	1555	0.04543542	19.73	20.28	0.01	6.606060606060605e-05
2780000	1561	0.028791009	19.77	20.28	0.01	6.575757575757576e-05
2790000	1566	0.027685385	19.82	20.28	0.01	6.545454545454546e-05
2800000	1572	0.004801063	19.79	20.28	0.01	6.515151515151516e-05
2810000	1577	0.028932516	19.78	20.28	0.01	6.484848484848485e-05
2820000	1583	0.021804241	19.77	20.28	0.01	6.454545454545455e-05
2830000	1589	0.030570699	19.82	20.28	0.01	6.424242424242424e-05
2840000	1595	0.023498695	19.83	20.28	0.01	6.393939393939394e-05
2850000	1600	0.027715001	19.89	20.28	0.01	6.363636363636364e-05
2860000	1606	0.010659678	19.97	20.28	0.01	6.333333333333335e-05
2870000	1612	0.028688237	20.05	20.28	0.01	6.303030303030302e-05
2880000	1617	0.016620781	20.07	20.28	0.01	6.272727272727273e-05
2890000	1623	0.01749878	20.23	20.28	0.01	6.242424242424243e-05
2900000	1629	0.032028377	20.26	20.29	0.01	6.212121212121213e-05
2910000	1635	0.04946995	20.31	20.31	0.01	6.181818181818182e-05
2920000	1641	0.00829358	20.29	20.31	0.01	6.151515151515152e-05
2930000	1647	0.017414443	20.32	20.32	0.01	6.121212121212121e-05
2940000	1653	0.024186656	20.34	20.35	0.01	6.090909090909091e-05
